Year,Rank,"Pos
Rank",,Player,,,,,,,,
2017,4,3,1.4,"Mixon, Joe (CIN, RB)® (R4)",27.33,27.75,23,30,"23, 26, 26, 29, 30, 30 (6)","Feb: 60.00, Mar: 43.33, Apr: 46.33, May: 31.83, Jun: 28.80, Jul: 29.67, Aug: 27.33, Sep: 30.67, Oct: 30.75, Nov: 27.75",,
2017,5,4,1.5,"Cook, Dalvin (MIN, RB)® (R5)",35.33,35.5,32,38,"32, 34, 34, 36, 38, 38 (6)","Feb: 20.67, Mar: 28.33, Apr: 31.67, May: 33.83, Jun: 37.80, Jul: 41.50, Aug: 35.33, Sep: 29.33, Oct: 18.25, Nov: 17.50",,
2017,6,5,1.6,"Kamara, Alvin (NOS, RB)® (R6)",75.33,73.75,61,96,"61, 62, 71, 78, 84, 96 (6)","Feb: 104.50, Mar: 89.83, Apr: 92.00, May: 80.83, Jun: 72.90, Jul: 72.67, Aug: 75.33, Sep: 72.33, Oct: 56.75, Nov: 43.50 ( 13 )",,
2017,7,2,1.7,"Williams, Mike (LAC, WR)® (R7)",76,76.5,55,95,"55, 65, 74, 83, 84, 95 (6)","Feb: 36.33, Mar: 38.00, Apr: 43.33, May: 42.17, Jun: 50.90, Jul: 54.50, Aug: 76.00, Sep: 72.83, Oct: 66.00, Nov: 62.50",,
2017,8,6,1.8,"Perine, Samaje (WAS, RB)® (R8)",80,79.75,76,85,"76, 79, 79, 80, 81, 85 (6)","Feb: 94.67, Mar: 108.50, Apr: 106.17, May: 92.83, Jun: 78.10, Jul: 74.00, Aug: 80.00, Sep: 103.83, Oct: 109.25, Nov: 140.50 ( 31 )",,
2017,9,7,1.9,"Hunt, Kareem (KCC, RB)® (R9)",81,78,72,102,"72, 73, 76, 77, 86, 102 (6)","Feb: 122.00, Mar: 142.83, Apr: 142.17, May: 103.67, Jun: 79.50, Jul: 86.67, Aug: 81.00, Sep: 43.33, Oct: 13.75, Nov: 14.75",,
2017,10,3,1.1,"Ross, John (CIN, WR)® (R10)",83.33,83.75,56,109,"56, 66, 86, 88, 95, 109 (6)","Feb: 70.00, Mar: 74.17, Apr: 76.00, May: 77.33, Jun: 79.50, Jul: 78.83, Aug: 83.33, Sep: 90.67, Oct: 90.75, Nov: 92.00",,
2017,11,1,1.11,"Howard, O.J. (TBB, TE)® (R11)",85,83,74,104,"74, 79, 80, 85, 88, 104 (6)","Feb: 95.17, Mar: 90.00, Apr: 83.67, May: 71.50, Jun: 71.60, Jul: 88.33, Aug: 85.00, Sep: 94.50, Oct: 75.00, Nov: 89.75 ( 15 )",,
2017,12,2,1.12,"Engram, Evan (NYG, TE)® (R12)",93.17,93.75,74,110,"74, 85, 95, 97, 98, 110 (6)","Feb: 127.00, Mar: 104.83, Apr: 100.17, May: 91.67, Jun: 95.40, Jul: 95.17, Aug: 93.17, Sep: 93.83, Oct: 77.75, Nov: 51.00 ( 27 )",,
2017,13,3,2.1,"Njoku, David (CLE, TE)® (R13)",97.17,99.25,78,108,"78, 91, 97, 103, 106, 108 (6)","Feb: 116.67, Mar: 113.67, Apr: 111.67, May: 96.50, Jun: 91.20, Jul: 93.00, Aug: 97.17, Sep: 99.67, Oct: 92.25, Nov: 75.75 ( 16 )",,
2017,14,4,2.2,"Jones, Zay (BUF, WR)® (R14)",106.83,107.75,98,112,"98, 105, 107, 109, 110, 112 (6)","Feb: 133.00, Mar: 137.00, Apr: 136.50, May: 112.33, Jun: 108.20, Jul: 112.50, Aug: 106.83, Sep: 71.83, Oct: 97.75, Nov: 100.75",,
2017,15,5,2.3,"Smith-Schuster, JuJu (PIT, WR)® (R15)",108.83,111.75,76,130,"76, 105, 110, 111, 121, 130 (6)","Feb: 62.33, Mar: 66.33, Apr: 73.67, May: 85.17, Jun: 104.50, Jul: 93.17, Aug: 108.83, Sep: 122.67, Oct: 101.00, Nov: 46.25 ( 55 )",,
2017,16,6,2.4,"Samuel, Curtis (CAR, WR)® (R16)",125.67,130,90,144,"90, 124, 127, 131, 138, 144 (6)","Feb: 131.00, Mar: 130.67, Apr: 126.50, May: 114.33, Jun: 124.00, Jul: 122.17, Aug: 125.67, Sep: 131.50, Oct: 132.75, Nov: 118.75 ( 14 )",,
2017,17,8,2.5,"Foreman, D'Onta (HOU, RB)® (R17)",127.17,127,115,140,"115, 119, 126, 131, 132, 140 (6)","Feb: 108.33, Mar: 114.50, Apr: 92.83, May: 108.50, Jun: 106.80, Jul: 126.17, Aug: 127.17, Sep: 120.83, Oct: 111.25, Nov: 103.75",,
2017,18,9,2.6,"Mack, Marlon (IND, RB)® (R18)",131.83,133.75,105,151,"105, 127, 129, 137, 142, 151 (6)","Mar: 206.50, Apr: 197.60, May: 155.75, Jun: 132.20, Jul: 142.50, Aug: 131.83, Sep: 126.33, Oct: 138.75, Nov: 86.25 ( 52 )",,
2017,19,7,2.7,"Golladay, Kenny (DET, WR, Age: 24)® (R19)",136,137.25,118,149,"118, 133, 135, 136, 145, 149 (6)","May: 209.00, Jun: 161.50, Jul: 136.50, Aug: 136.00, Sep: 100.83, Oct: 81.25, Nov: 92.75",,
2017,20,10,2.8,"Williams, Jamaal (GBP, RB)® (R20)",138.17,140.25,122,146,"122, 133, 138, 145, 145, 146 (6)","Feb: 146.67, Mar: 161.67, Apr: 170.83, May: 140.50, Jun: 127.40, Jul: 145.50, Aug: 138.17, Sep: 128.00, Oct: 130.75, Nov: 187.75 ( 57 )",,
2017,21,11,2.9,"Williams, Joe (SFO, RB)® (R21)",140,140.75,111,166,"111, 132, 136, 137, 158, 166 (6)","Mar: 212.33, Apr: 214.00, May: 180.50, Jun: 120.70, Jul: 135.83, Aug: 140.00, Sep: 201.40, Oct: 205.50, Nov: 188.33 ( 17 )",,
2017,22,8,2.1,"Godwin, Chris (TBB, WR)® (R22)",140.17,137,121,172,"121, 122, 132, 145, 149, 172 (6)","Feb: 181.83, Mar: 139.17, Apr: 116.50, May: 125.33, Jun: 127.90, Jul: 135.50, Aug: 140.17, Sep: 133.50, Oct: 117.75, Nov: 117.00",,
2017,23,9,2.11,"Kupp, Cooper (LAR, WR)® (R23)",141.67,145.75,112,155,"112, 143, 146, 147, 147, 155 (6)","Feb: 154.67, Mar: 159.67, Apr: 155.83, May: 161.25, Jun: 157.90, Jul: 177.17, Aug: 141.67, Sep: 115.33, Oct: 96.50, Nov: 78.25 ( 18 )",,
2017,24,12,2.12,"Conner, James (PIT, RB)® (R24)",148.5,146.25,124,182,"124, 139, 146, 147, 153, 182 (6)","Feb: 180.60, Mar: 181.67, Apr: 181.83, May: 175.75, Jun: 143.60, Jul: 148.83, Aug: 148.50, Sep: 151.00, Oct: 151.50, Nov: 123.25 ( 28 )",,
2017,25,13,3.1,"McNichols, Jeremy (TBB, RB)® (R25)",159.67,159.5,151,169,"151, 152, 160, 162, 164, 169 (6)","Feb: 177.67, Mar: 170.50, Apr: 149.50, May: 141.80, Jun: 157.90, Jul: 163.33, Aug: 159.67, Sep: 216.00, Nov: 239.00",,
2017,26,4,3.2,"Everett, Gerald (LAR, TE)® (R26)",162.83,166.25,136,176,"136, 159, 164, 167, 175, 176 (6)","Apr: 228.67, May: 211.00, Jun: 162.10, Jul: 155.67, Aug: 162.83, Sep: 167.60, Oct: 193.75, Nov: 154.75 ( 39 )",,
2017,27,10,3.3,"Henderson, Carlos (DEN, WR)® (R27)",165.5,164,150,187,"150, 156, 157, 159, 184, 187 (6)","Feb: 121.00, Mar: 121.67, Apr: 124.50, May: 126.50, Jun: 164.70, Jul: 152.17, Aug: 165.50, Sep: 208.00, Oct: 191.50, Nov: 186.75",,
2017,28,1,3.4,"Watson, Deshaun (HOU, QB)® (R28)",171.17,167.25,154,204,"154, 157, 164, 167, 181, 204 (6)","Feb: 192.60, Mar: 185.33, Apr: 192.60, May: 153.00, Jun: 161.60, Jul: 164.17, Aug: 171.17, Sep: 160.33, Oct: 119.75, Nov: 60.75 ( 59 )",,
2017,29,5,3.5,"Shaheen, Adam (CHI, TE, Age: 23)® (R29)",174.17,175.5,148,195,"148, 162, 162, 185, 193, 195 (6)","May: 200.50, Jun: 164.20, Jul: 180.00, Aug: 174.17, Sep: 217.00, Oct: 201.00, Nov: 175.50 ( 25 )",,
2017,30,11,3.6,"Taylor, Taywan (TEN, WR)® (R30)",176.17,172.75,160,206,"160, 163, 170, 178, 180, 206 (6)","Feb: 181.20, Mar: 171.33, Apr: 180.17, May: 165.33, Jun: 164.00, Jul: 160.33, Aug: 176.17, Sep: 143.67, Oct: 151.75, Nov: 142.00",,
2017,31,12,3.7,"Williams, Chad (ARI, WR, Age: 23)® (R31)",177.33,177,146,210,"146, 169, 178, 178, 183, 210 (6)","May: 176.00, Jun: 169.20, Jul: 164.67, Aug: 177.33, Sep: 228.00, Oct: 206.00, Nov: 204.50",,
2017,32,13,3.8,"Stewart, ArDarius (NYJ, WR)® (R32)",177.5,177.75,154,200,"154, 155, 175, 189, 192, 200 (6)","Feb: 194.60, Mar: 207.00, Apr: 201.67, May: 195.33, Jun: 180.00, Jul: 173.83, Aug: 177.50, Sep: 162.67, Oct: 173.25, Nov: 178.50",,
2017,33,2,3.9,"Mahomes, Patrick (KCC, QB)® (R33)",181.33,181,162,202,"162, 168, 182, 187, 187, 202 (6)","Feb: 226.50, Mar: 217.67, Apr: 214.50, May: 188.00, Jun: 171.70, Jul: 188.00, Aug: 181.33, Sep: 184.67, Oct: 160.25, Nov: 152.50",,
2017,34,14,3.1,"Gallman, Wayne (NYG, RB)® (R34)",185.33,186,163,205,"163, 176, 177, 194, 197, 205 (6)","Feb: 147.83, Mar: 173.50, Apr: 194.67, May: 157.75, Jun: 170.10, Jul: 185.00, Aug: 185.33, Sep: 195.50, Oct: 191.00, Nov: 191.50",,
2017,35,14,3.11,"Reynolds, Josh (LAR, WR)® (R35)",199,196.25,179,230,"179, 183, 184, 202, 216, 230 (6)","Feb: 222.50, Mar: 213.17, Apr: 192.40, May: 168.83, Jun: 195.44, Jul: 180.17, Aug: 199.00, Sep: 207.75, Oct: 203.75, Nov: 187.33 ( 16 )",,
2017,36,3,3.12,"Kizer, DeShone (CLE, QB)® (R36)",201.33,199.25,176,235,"176, 186, 201, 204, 206, 235 (6)","Feb: 220.50, Mar: 233.50, Apr: 228.50, May: 223.00, Jun: 206.38, Jul: 216.40, Aug: 201.33, Sep: 164.83, Oct: 182.50",,
2017,37,4,4.1,"Trubisky, Mitchell (CHI, QB)® (R37)",205,206,182,225,"182, 200, 202, 216, 225 (5)","Feb: 222.33, Mar: 220.00, Apr: 222.00, May: 201.00, Jun: 208.60, Jul: 213.00, Aug: 205.00, Sep: 176.67, Oct: 157.75, Nov: 159.50",,
2017,38,6,4.2,"Smith, Jonnu (TEN, TE)® (R38)",206.83,208.25,185,223,"185, 205, 205, 211, 212, 223 (6)","May: 226.00, Jun: 204.25, Jul: 194.83, Aug: 206.83, Sep: 222.75, Oct: 192.50, Nov: 162.75 ( 30 )",,
2017,39,15,4.3,"McGuire, Elijah (NYJ, RB)® (R39)",214.33,214.33,186,236,"186, 221, 236 (3)","Feb: 195.17, Mar: 227.75, Apr: 234.25, May: 216.00, Jun: 225.00, Jul: 226.00, Aug: 214.33, Sep: 201.00, Oct: 180.50, Nov: 195.00 ( 15 )",,
2017,40,16,4.4,"Pumphrey, Donnel (PHI, RB)® (R40)",214.67,218.25,183,232,"183, 201, 220, 223, 229, 232 (6)","Feb: 238.00, Mar: 229.00, Apr: 228.00, May: 220.33, Jun: 211.90, Jul: 202.83, Aug: 214.67",,
2017,41,17,4.5,"Jones, Aaron (GBP, RB, Age: 22)® (R41)",217.17,217.5,209,224,"209, 209, 218, 219, 224, 224 (6)","May: 200.00, Jun: 194.00, Jul: 191.67, Aug: 217.17, Oct: 180.00, Nov: 68.25 ( 112 )",,
2017,42,18,4.6,"Henderson, De'Angelo (DEN, RB, Age: 24)® (R42)",217.2,217.33,198,236,"198, 209, 211, 232, 236 (5)","Jun: 231.00, Jul: 210.00, Aug: 217.20, Sep: 180.17, Oct: 196.00, Nov: 226.50 ( 31 )",,
2017,43,19,4.7,"Hood, Elijah (OAK, RB)® (R43)",218.6,219.67,200,234,"200, 218, 219, 222, 234 (5)","Feb: 197.67, Mar: 209.60, Apr: 200.00, May: 215.00, Jun: 213.88, Jul: 220.00, Aug: 218.60",,
2017,44,15,4.8,"Switzer, Ryan (DAL, WR)® (R44)",219.5,219.5,193,235,"193, 225, 225, 235 (4)","Feb: 225.00, May: 222.00, Jun: 219.63, Jul: 209.40, Aug: 219.50, Sep: 233.00, Oct: 236.00, Nov: 238.00",,
2017,45,16,4.9,"Zamora, Ishmael (FA, WR, Age: 21)® (R45)",221,221,221,221,221 (1),"Apr: 234.67, May: 228.50, Jun: 221.00, Jul: 218.00, Aug: 221.00",,
2017,46,7,4.1,"Butt, Jake (DEN, TE)® (R46)",222.83,224.5,202,237,"202, 217, 222, 226, 233, 237 (6)","Feb: 191.17, Mar: 207.33, Apr: 215.33, May: 180.67, Jun: 206.75, Jul: 197.00, Aug: 222.83, Sep: 222.80, Oct: 226.00, Nov: 200.50 ( 25 )",,
2017,47,17,4.11,"Darboh, Amara (SEA, WR)® (R47)",223.67,223.67,210,231,"210, 230, 231 (3)","Feb: 215.00, Mar: 229.50, Apr: 234.00, Jun: 216.60, Jul: 214.00, Aug: 223.67, Nov: 212.33",,
2017,48,8,4.12,"Kittle, George (SFO, TE, Age: 24)® (R48)",225.4,228.67,207,234,"207, 224, 230, 232, 234 (5)","Jul: 206.00, Aug: 225.40, Sep: 193.67, Oct: 176.25, Nov: 141.00 ( 35 )",,
2017,49,18,5.1,"Westbrook, Dede (JAC, WR)® (R49)",229,229,225,232,"225, 228, 231, 232 (4)","Feb: 151.83, Mar: 167.50, Apr: 184.67, May: 206.00, Jun: 223.00, Jul: 214.75, Aug: 229.00, Sep: 173.50, Oct: 175.25, Nov: 110.75 ( 64 )",,
2017,50,20,5.2,"Cohen, Tarik (CHI, RB, Age: 22)® (R50)",230.67,230.67,227,236,"227, 229, 236 (3)","Jun: 237.00, Aug: 230.67, Sep: 176.50, Oct: 77.75, Nov: 102.75 ( 25 )",,
2018,1,1,1.1,"Barkley, Saquon (NYG, RB, Age: 21)® (R1)",6.33,6.5,5,7,"5, 6, 6, 7, 7, 7 (6)","Mar: 10.00, Apr: 8.00, May: 6.33, Jun: 6.00, Jul: 5.67, Aug: 6.33, Sep: 5.67, Oct: 5.25, Nov: 3.00, Dec: 1.25",,
2018,2,2,1.2,"Guice, Derrius (WAS, RB, Age: 21)® (R2)",26.83,26.5,22,33,"22, 23, 26, 26, 31, 33 (6)","Mar: 26.88, Apr: 25.83, May: 33.50, Jun: 33.33, Jul: 30.50, Aug: 26.83, Sep: 43.67, Oct: 39.00, Nov: 36.25, Dec: 41.75",,
2018,3,3,1.3,"Penny, Rashaad (SEA, RB, Age: 22)® (R3)",38,37.25,31,48,"31, 34, 37, 38, 40, 48 (6)","Mar: 73.25, Apr: 64.33, May: 43.83, Jun: 39.17, Jul: 37.83, Aug: 38.00, Sep: 55.17, Oct: 64.00, Nov: 84.50, Dec: 57.00 ( 27 )",,
2018,4,4,1.4,"Michel, Sony (NEP, RB, Age: 23)® (R4)",42.83,42.5,40,47,"40, 41, 42, 42, 45, 47 (6)","Mar: 44.88, Apr: 47.33, May: 45.33, Jun: 43.17, Jul: 41.33, Aug: 42.83, Sep: 45.00, Oct: 40.50, Nov: 36.50, Dec: 30.75",,
2018,5,5,1.5,"Jones, Ronald (TBB, RB)® (R5)",52.83,52.5,50,57,"50, 52, 52, 52, 54, 57 (6)","Mar: 58.00, Apr: 69.17, May: 52.17, Jun: 50.00, Jul: 49.83, Aug: 52.83, Sep: 88.17, Oct: 96.00, Nov: 90.25, Dec: 94.00",,
2018,6,6,1.6,"Chubb, Nick (CLE, RB, Age: 22)® (R6)",53.33,52.25,43,68,"43, 44, 52, 56, 57, 68 (6)","Mar: 41.88, Apr: 45.00, May: 39.00, Jun: 42.67, Jul: 49.83, Aug: 53.33, Sep: 47.67, Oct: 50.50, Nov: 33.25, Dec: 18.50 ( 15 )",,
2018,7,7,1.7,"Johnson, Kerryon (DET, RB, Age: 21)® (R7)",53.83,53,48,63,"48, 48, 53, 53, 58, 63 (6)","Mar: 99.13, Apr: 104.83, May: 73.33, Jun: 59.33, Jul: 61.00, Aug: 53.83, Sep: 48.50, Oct: 42.00, Nov: 30.75, Dec: 34.25",,
2018,8,8,1.8,"Freeman, Royce (DEN, RB, Age: 22)® (R8)",57.17,58,46,65,"46, 53, 58, 59, 62, 65 (6)","Mar: 99.88, Apr: 100.50, May: 66.00, Jun: 50.83, Jul: 53.67, Aug: 57.17, Sep: 42.67, Oct: 59.25, Nov: 59.75, Dec: 75.25 ( 16 )",,
2018,9,1,1.9,"Moore, D.J. (CAR, WR)® (R9)",63.5,65.5,49,70,"49, 58, 66, 69, 69, 70 (6)","Mar: 80.63, Apr: 68.00, May: 61.33, Jun: 58.00, Jul: 54.17, Aug: 63.50, Sep: 57.17, Oct: 65.00, Nov: 53.00, Dec: 42.00",,
2018,10,2,1.1,"Sutton, Courtland (DEN, WR, Age: 23)® (R10)",78,77,71,89,"71, 71, 77, 79, 81, 89 (6)","Mar: 53.75, Apr: 58.83, May: 69.17, Jun: 74.33, Jul: 81.33, Aug: 78.00, Sep: 61.17, Oct: 63.25, Nov: 45.00, Dec: 45.25",,
2018,11,3,1.11,"Ridley, Calvin (ATL, WR, Age: 23)® (R11)",85,85.5,76,92,"76, 79, 85, 86, 92, 92 (6)","Mar: 67.00, Apr: 75.67, May: 67.67, Jun: 67.33, Jul: 67.17, Aug: 85.00, Sep: 76.50, Oct: 52.50, Nov: 54.75, Dec: 45.25",,
2018,12,4,1.12,"Kirk, Christian (ARI, WR, Age: 22)® (R12)",85.33,85.25,73,98,"73, 74, 88, 88, 91, 98 (6)","Mar: 85.88, Apr: 90.33, May: 79.50, Jun: 67.00, Jul: 74.00, Aug: 85.33, Sep: 91.00, Oct: 71.75, Nov: 67.00, Dec: 59.25",,
2018,13,5,2.1,"Miller, Anthony (CHI, WR, Age: 24)® (R13)",94.67,93.75,89,104,"89, 90, 93, 95, 97, 104 (6)","Mar: 157.75, Apr: 156.50, May: 114.50, Jun: 92.67, Jul: 95.67, Aug: 94.67, Sep: 80.17, Oct: 81.50, Nov: 89.75, Dec: 71.75 ( 18 )",,
2018,14,6,2.2,"Gallup, Michael (DAL, WR, Age: 22)® (R14)",111.5,109.25,99,133,"99, 104, 108, 112, 113, 133 (6)","Mar: 150.75, Apr: 148.50, May: 104.33, Jun: 90.17, Jul: 94.67, Aug: 111.50, Sep: 98.83, Oct: 115.50, Nov: 124.75, Dec: 97.50 ( 27 )",,
2018,15,7,2.3,"Washington, James (PIT, WR, Age: 22)® (R15)",114.17,115,101,124,"101, 107, 110, 120, 123, 124 (6)","Mar: 65.25, Apr: 79.67, May: 96.33, Jun: 107.17, Jul: 118.17, Aug: 114.17, Sep: 103.50, Oct: 91.25, Nov: 133.00, Dec: 140.25",,
2018,16,9,2.4,"Hines, Nyheim (IND, RB, Age: 22)® (R16)",116.5,118.25,96,130,"96, 117, 118, 118, 120, 130 (6)","Mar: 177.14, Apr: 185.17, May: 136.67, Jun: 126.00, Jul: 112.83, Aug: 116.50, Sep: 153.20, Oct: 114.25, Nov: 101.00, Dec: 109.50",,
2018,17,1,2.5,"Gesicki, Mike (MIA, TE, Age: 23)® (R17)",124,124.5,109,137,"109, 118, 122, 129, 129, 137 (6)","Mar: 157.38, Apr: 144.67, May: 134.67, Jun: 112.00, Jul: 122.83, Aug: 124.00, Sep: 126.60, Oct: 143.00, Nov: 166.75, Dec: 177.75",,
2018,18,1,2.6,"Mayfield, Baker (CLE, QB, Age: 23)® (R18)",148.67,146.25,126,181,"126, 131, 145, 148, 161, 181 (6)","Mar: 175.63, Apr: 173.17, May: 142.17, Jun: 155.50, Jul: 171.83, Aug: 148.67, Sep: 158.25, Oct: 127.75, Nov: 124.75, Dec: 108.00 ( 17 )",,
2018,19,8,2.7,"Pettis, Dante (SFO, WR, Age: 23)® (R19)",149,147.75,129,174,"129, 131, 132, 161, 167, 174 (6)","Mar: 213.29, Apr: 218.60, May: 132.83, Jun: 127.83, Jul: 128.33, Aug: 149.00, Sep: 146.75, Oct: 131.25, Nov: 160.25, Dec: 97.00 ( 63 )",,
2018,20,10,2.8,"Wilkins, Jordan (IND, RB, Age: 24)® (R20)",149.67,151.75,125,166,"125, 142, 149, 156, 160, 166 (6)","May: 216.00, Jun: 178.00, Jul: 169.00, Aug: 149.67, Sep: 124.25, Oct: 189.25, Nov: 213.25, Dec: 203.50",,
2018,21,2,2.9,"Jackson, Lamar (BAL, QB, Age: 21)® (R21)",149.83,153.25,109,177,"109, 147, 148, 153, 165, 177 (6)","Mar: 179.50, Apr: 157.17, May: 141.17, Jun: 141.50, Jul: 147.50, Aug: 149.83, Sep: 162.75, Oct: 158.75, Nov: 157.25, Dec: 124.00 ( 33 )",,
2018,22,11,2.1,"Ballage, Kalen (MIA, RB)® (R22)",157.33,156.25,128,191,"128, 137, 140, 158, 190, 191 (6)","Mar: 132.38, Apr: 138.50, May: 144.33, Jun: 131.33, Jul: 124.83, Aug: 157.33, Sep: 157.50, Oct: 164.75, Nov: 186.00, Dec: 191.25",,
2018,23,9,2.11,"Smith, Tre'Quan (NOS, WR)® (R23)",159.5,157,142,187,"142, 148, 149, 164, 167, 187 (6)","Mar: 200.00, Apr: 215.00, May: 167.33, Jun: 151.00, Jul: 156.00, Aug: 159.50, Sep: 134.80, Oct: 123.25, Nov: 87.50, Dec: 77.00",,
2018,24,2,2.12,"Hurst, Hayden (BAL, TE, Age: 25)® (R24)",162.83,157.75,128,218,"128, 148, 152, 162, 169, 218 (6)","Mar: 207.00, Apr: 218.60, May: 205.83, Jun: 162.50, Jul: 173.67, Aug: 162.83, Sep: 136.50, Oct: 168.00, Nov: 176.25, Dec: 196.25 ( 20 )",,
2018,25,10,3.1,"Callaway, Antonio (CLE, WR, Age: 21)® (R25)",175.33,176,145,203,"145, 162, 173, 182, 187, 203 (6)","Mar: 207.14, Apr: 210.00, May: 174.50, Jun: 153.00, Jul: 162.50, Aug: 175.33, Sep: 149.60, Oct: 96.00, Nov: 136.50, Dec: 112.00 ( 24 )",,
2018,26,3,3.2,"Rosen, Josh (ARI, QB, Age: 21)® (R26)",177.83,176,163,200,"163, 170, 176, 179, 179, 200 (6)","Mar: 175.38, Apr: 177.33, May: 167.00, Jun: 172.83, Jul: 186.33, Aug: 177.83, Sep: 171.00, Oct: 176.50, Nov: 165.00, Dec: 153.75",,
2018,27,3,3.3,"Goedert, Dallas (PHI, TE, Age: 24)® (R27)",179,181.5,144,204,"144, 164, 181, 187, 194, 204 (6)","Mar: 154.00, Apr: 140.17, May: 158.50, Jun: 146.00, Jul: 170.67, Aug: 179.00, Sep: 135.80, Oct: 129.75, Nov: 136.75, Dec: 122.25 ( 14 )",,
2018,28,11,3.4,"Coutee, Keke (HOU, WR, Age: 21)® (R28)",180.83,186.25,132,208,"132, 170, 188, 192, 195, 208 (6)","Mar: 207.33, Apr: 235.00, May: 185.50, Jun: 180.17, Jul: 153.83, Aug: 180.83, Sep: 173.33, Oct: 124.00, Nov: 98.25, Dec: 106.00",,
2018,29,4,3.5,"Herndon, Chris (NYJ, TE)® (R29)",185,185,185,185,185 (1),"Jun: 240.00, Aug: 185.00, Sep: 198.00, Nov: 170.75, Dec: 150.50 ( 20 )",,
2018,30,12,3.6,"Chark, D.J. (JAC, WR, Age: 22)® (R30)",187.5,191.75,149,209,"149, 172, 186, 204, 205, 209 (6)","Mar: 147.43, Apr: 167.50, May: 171.67, Jun: 161.50, Jul: 162.17, Aug: 187.50, Sep: 183.33, Oct: 190.25, Nov: 185.25, Dec: 205.75 ( 21 )",,
2018,31,13,3.7,"Moore, J'Mon (GBP, WR, Age: 23)® (R31)",189,190.5,170,202,"170, 184, 188, 191, 199, 202 (6)","May: 208.00, Jun: 186.50, Jul: 184.33, Aug: 189.00, Oct: 215.00, Nov: 200.00, Dec: 221.67 ( 22 )",,
2018,32,4,3.8,"Darnold, Sam (NYJ, QB, Age: 21)® (R32)",191.5,186.75,171,231,"171, 182, 186, 187, 192, 231 (6)","Mar: 208.75, Apr: 193.50, May: 176.50, Jun: 189.17, Jul: 207.80, Aug: 191.50, Sep: 177.50, Oct: 178.50, Nov: 176.00, Dec: 186.50",,
2018,33,12,3.9,"Edmonds, Chase (ARI, RB, Age: 22)® (R33)",194.67,193.25,180,215,"180, 183, 188, 193, 209, 215 (6)","May: 198.00, Jun: 195.17, Jul: 172.00, Aug: 194.67, Sep: 169.25, Oct: 158.00, Nov: 179.50, Dec: 177.00",,
2018,34,14,3.1,"Cain, Deon (IND, WR, Age: 22)® (R34)",194.83,188.25,176,240,"176, 180, 189, 190, 194, 240 (6)","Mar: 187.38, Apr: 197.50, May: 195.50, Jun: 221.20, Jul: 200.83, Aug: 194.83, Oct: 212.00, Nov: 193.00, Dec: 180.75 ( 12 )",,
2018,35,15,3.11,"Hamilton, DaeSean (DEN, WR, Age: 23)® (R35)",198,203.75,155,218,"155, 179, 204, 216, 216, 218 (6)","Mar: 193.83, Apr: 193.50, May: 184.83, Jun: 186.50, Jul: 182.67, Aug: 198.00, Sep: 205.50, Oct: 202.33, Nov: 183.00, Dec: 151.25 ( 32 )",,
2018,36,16,3.12,"St. Brown, Equanimeous (GBP, WR, Age: 22)® (R36)",200,200,200,200,200 (1),"Mar: 104.25, Apr: 108.00, May: 167.50, Jun: 213.83, Jul: 207.75, Aug: 200.00, Oct: 222.00, Nov: 172.25, Dec: 194.75 ( 23 )",,
2018,37,17,4.1,"Valdes-Scantling, Marquez (GBP, WR, Age: 24)® (R37)",201,201,201,201,201 (1),"May: 231.00, Aug: 201.00, Sep: 220.00, Oct: 155.00, Nov: 89.25, Dec: 99.00",,
2018,38,13,4.2,"Kelly, John (LAR, RB, Age: 22)® (R38)",204.33,205.5,190,214,"190, 197, 206, 209, 210, 214 (6)","Mar: 118.63, Apr: 119.67, May: 180.67, Jun: 202.67, Jul: 200.50, Aug: 204.33, Sep: 171.50, Oct: 178.75, Nov: 180.00, Dec: 180.50",,
2018,39,18,4.3,"Fountain, Daurice (IND, WR, Age: 22)® (R39)",204.5,204.5,182,227,"182, 227 (2)","May: 226.50, Jun: 221.00, Jul: 215.00, Aug: 204.50",,
2018,40,14,4.4,"Smith, Ito (ATL, RB, Age: 23)® (R40)",207.2,208.33,191,220,"191, 197, 211, 217, 220 (5)","May: 212.40, Jun: 188.33, Jul: 192.17, Aug: 207.20, Sep: 234.00, Oct: 176.50, Nov: 114.50, Dec: 130.25 ( 16 )",,
2018,41,15,4.5,"Jackson, Justin (LAC, RB, Age: 23)® (R41)",207.6,210.67,189,217,"189, 205, 213, 214, 217 (5)","Mar: 210.57, Apr: 222.17, May: 217.67, Jun: 219.00, Jul: 197.67, Aug: 207.60, Dec: 168.00",,
2018,42,16,4.6,"Samuels, Jaylen (PIT, RB, Age: 22)® (R42)",210.67,215.25,176,227,"176, 209, 215, 218, 219, 227 (6)","Mar: 209.50, Apr: 213.50, May: 187.75, Jun: 203.00, Jul: 203.33, Aug: 210.67, Sep: 199.50, Dec: 162.00",,
2018,43,19,4.7,"Watson, Justin (TBB, WR)® (R43)",213.33,213.33,199,225,"199, 216, 225 (3)","May: 233.00, Jun: 229.67, Jul: 226.67, Aug: 213.33, Oct: 222.00, Dec: 219.00",,
