Year,Rank,"Pos
Rank",,Player,,,,,,,,
2015,25,11,3.1,"Conley, Chris (KCC, WR)® (R25)",127.33,139,65,143,"65, 136, 138, 141, 141, 143 (6)","Mar: 123.00, Apr: 140.00, May: 140.50, Jun: 139.00, Jul: 138.83, Aug: 127.33",,
2015,26,12,3.2,"Artis-Payne, Cameron (CAR, RB)® (R26)",141.33,141.25,130,153,"130, 136, 138, 139, 152, 153 (6)","Feb: 236.00, Apr: 202.00, May: 190.33, Jun: 165.17, Jul: 142.17, Aug: 141.33",,
2015,27,12,3.3,"Smith, Devin (NYJ, WR)® (R27)",141.17,142.25,116,162,"116, 138, 142, 144, 145, 162 (6)","Feb: 150.83, Mar: 148.50, Apr: 143.17, May: 127.33, Jun: 132.50, Jul: 137.67, Aug: 141.17",,
2015,28,13,3.4,"Coates, Sammie (PIT, WR)® (R28)",142.67,144,126,154,"126, 128, 146, 151, 151, 154 (6)","Feb: 90.83, Mar: 111.40, Apr: 115.67, May: 138.17, Jun: 135.33, Jul: 142.00, Aug: 142.67",,
2015,29,14,3.5,"Hardy, Justin (ATL, WR)® (R29)",147.67,147.5,135,161,"135, 135, 146, 154, 155, 161 (6)","Feb: 180.40, Mar: 158.50, Apr: 182.50, May: 168.17, Jun: 161.50, Jul: 153.83, Aug: 147.67",,
2015,30,13,3.6,"Davis, Mike (SFO, RB)® (R30)",163.33,163.5,150,176,"150, 160, 162, 163, 169, 176 (6)","Feb: 106.67, Mar: 143.00, Apr: 148.00, May: 152.00, Jun: 153.00, Jul: 151.17, Aug: 163.33 ( 12 )",,
2015,31,14,3.7,"Robinson, Josh (IND, RB)® (R31)",170.5,169.25,159,187,"159, 161, 167, 171, 178, 187 (6)","Feb: 156.17, Mar: 153.00, Apr: 170.17, May: 158.83, Jun: 159.17, Jul: 147.00, Aug: 170.50 ( 24 )",,
2015,32,15,3.8,"Diggs, Stefon (MIN, WR)® (R32)",174,172.75,161,192,"161, 166, 166, 179, 180, 192 (6)","Feb: 136.00, Mar: 125.33, Apr: 143.33, May: 162.50, Jun: 173.67, Jul: 186.00, Aug: 174.00",,
2015,33,16,3.9,"Bell, Kenny (TBB, WR)® (R33)",171.5,174.75,137,193,"137, 159, 164, 184, 192, 193 (6)","Feb: 204.00, Apr: 179.67, May: 195.00, Jun: 170.83, Jul: 159.00, Aug: 171.50 ( 13 )",,
2015,34,17,3.1,"Smelter, DeAndre (SFO, WR)® (R34)",173.83,179,135,192,"135, 174, 177, 180, 185, 192 (6)","Feb: 231.00, Apr: 215.00, May: 187.83, Jun: 161.17, Jul: 168.33, Aug: 173.83",,
2015,35,15,3.11,"Dyer, Michael (FA, RB)® (R35)",182.5,182.5,178,187,"178, 187 (2)","Apr: 213.67, Aug: 182.50",,
2015,36,16,3.12,"Langford, Jeremy (CHI, RB)® (R36)",187,185,175,205,"175, 176, 179, 200, 205 (5)","Feb: 196.60, Mar: 160.00, Apr: 188.33, May: 168.33, Jun: 180.50, Jul: 173.33, Aug: 187.00 ( 14 )",,
2015,37,2,4.1,"Walford, Clive (OAK, TE)® (R37)",186.8,187.67,145,226,"145, 175, 190, 198, 226 (5)","Feb: 219.67, Apr: 213.25, May: 192.00, Jun: 177.00, Jul: 189.50, Aug: 186.80",,
2015,38,18,4.2,"McBride, Tre (TEN, WR)® (R38)",185.2,188,137,225,"137, 183, 188, 193, 225 (5)","Apr: 161.50, May: 175.67, Jun: 177.33, Jul: 180.50, Aug: 185.20",,
2015,39,19,4.3,"Carter, Duron (IND, WR)® (R39)",199.8,200.67,170,227,"170, 184, 194, 224, 227 (5)","Feb: 102.50, Mar: 107.00, Apr: 142.00, May: 181.20, Jun: 188.33, Jul: 203.17, Aug: 199.80",,
2015,40,3,4.4,"Pruitt, MyCole (MIN, TE)® (R40)",201.67,201.67,180,216,"180, 209, 216 (3)","May: 225.00, Aug: 201.67",,
2015,41,17,4.5,"Williams, Karlos (BUF, RB)® (R41)",207,207,189,232,"189, 191, 216, 232 (4)","Feb: 218.67, Mar: 194.00, Apr: 205.20, May: 225.40, Jun: 208.60, Jul: 226.25, Aug: 207.00 ( 19 )",,
2015,42,18,4.6,"Zenner, Zach (DET, RB)® (R42)",212.25,212.25,182,227,"182, 217, 223, 227 (4)","Apr: 234.00, May: 200.00, Jun: 191.17, Jul: 205.40, Aug: 212.25",,
2015,43,20,4.7,"Greene, Rashad (JAC, WR)® (R43)",214.33,214.33,186,232,"186, 225, 232 (3)","Feb: 182.33, Mar: 204.00, Apr: 187.33, May: 200.17, Jun: 190.80, Jul: 216.33, Aug: 214.33",,
2015,44,21,4.8,"Waller, Darren (BAL, WR)® (R44)",218,218,207,229,"207, 229 (2)","May: 215.83, Jun: 186.40, Jul: 209.60, Aug: 218.00",,
2015,45,19,4.9,"Rawls, Thomas (SEA, RB)® (R45)",223,223,217,229,"217, 223, 229 (3)","Jun: 187.00, Jul: 211.00, Aug: 223.00",,
2015,46,22,4.1,"Montgomery, Ty (GBP, WR)® (R46)",222,225,198,237,"198, 208, 231, 236, 237 (5)","Apr: 217.50, May: 219.40, Jun: 199.00, Jul: 212.00, Aug: 222.00",,
2015,47,23,4.11,"Crowder, Jamison (WAS, WR)® (R47)",225,225,211,239,"211, 239 (2)","Feb: 225.67, Mar: 219.00, Apr: 218.25, Jul: 238.00, Aug: 225.00 ( 13 )",,
2015,48,24,4.12,"Mayle, Vince (CLE, WR)® (R48)",232,232,232,232,232 (1),"Feb: 182.67, Mar: 187.00, Apr: 233.33, May: 225.20, Jun: 212.00, Jul: 221.40, Aug: 232.00",,
2016,1,1,1.1,"Elliott, Ezekiel (DAL, RB, Age: 21)® (R1)",12.67,12.75,10,15,"10, 11, 11, 14, 15, 15 (6)","Feb: 28.67, Mar: 26.29, Apr: 19.67, May: 16.00, Jun: 9.67, Jul: 11.67, Aug: 12.67, Sep: 8.17, Oct: 10.83, Nov: 7.00",,
2016,2,1,1.2,"Treadwell, Laquon (MIN, WR, Age: 21)® (R2)",27.17,26.75,23,33,"23, 24, 26, 28, 29, 33 (6)","Feb: 27.78, Mar: 27.71, Apr: 30.50, May: 31.57, Jun: 23.50, Jul: 27.17, Aug: 27.17, Sep: 38.33, Oct: 41.83, Nov: 51.50",,
2016,3,2,1.3,"Coleman, Corey (CLE, WR, Age: 22)® (R3)",33.67,34,25,41,"25, 30, 30, 35, 41, 41 (6)","Feb: 59.33, Mar: 57.71, Apr: 44.33, May: 38.71, Jun: 34.17, Jul: 33.50, Aug: 33.67, Sep: 36.00, Oct: 26.33, Nov: 25.75",,
2016,4,3,1.4,"Doctson, Josh (WAS, WR)® (R4)",41.17,41.5,35,46,"35, 38, 41, 43, 44, 46 (6)","Feb: 57.00, Mar: 48.00, Apr: 38.33, May: 38.71, Jun: 39.00, Jul: 41.33, Aug: 41.17, Sep: 47.33, Oct: 47.67, Nov: 51.25",,
2016,5,4,1.5,"Shepard, Sterling (NYG, WR)® (R5)",47,46.75,43,52,"43, 44, 46, 48, 49, 52 (6)","Feb: 74.78, Mar: 76.67, Apr: 70.67, May: 53.43, Jun: 50.50, Jul: 50.33, Aug: 47.00, Sep: 45.50, Oct: 31.50, Nov: 38.25",,
2016,6,5,1.6,"Thomas, Michael (NOS, WR, Age: 22)® (R6)",56.83,56,48,69,"48, 52, 53, 57, 62, 69 (6)","Feb: 59.44, Mar: 67.67, Apr: 67.00, May: 62.14, Jun: 60.50, Jul: 63.67, Aug: 56.83, Sep: 59.50, Oct: 50.17, Nov: 30.50 ( 20 )",,
2016,7,2,1.7,"Henry, Derrick (TEN, RB, Age: 22)® (R7)",81.83,80.25,72,98,"72, 74, 80, 81, 86, 98 (6)","Feb: 65.44, Mar: 65.00, Apr: 72.67, May: 63.57, Jun: 62.50, Jul: 71.33, Aug: 81.83, Sep: 63.83, Oct: 59.33, Nov: 48.25",,
2016,8,6,1.8,"Fuller, Will (HOU, WR, Age: 22)® (R8)",84.4,80.67,70,110,"70, 73, 77, 92, 110 (5)","Feb: 85.22, Mar: 86.75, Apr: 93.67, May: 85.14, Jun: 90.67, Jul: 92.67, Aug: 84.40, Sep: 76.67, Oct: 37.67, Nov: 39.25",,
2016,9,7,1.9,"Carroo, Leonte (MIA, WR, Age: 22)® (R9)",85.5,87.75,68,94,"68, 80, 89, 91, 91, 94 (6)","Feb: 94.44, Mar: 82.00, Apr: 70.33, May: 93.71, Jun: 82.17, Jul: 94.83, Aug: 85.50, Sep: 95.00, Oct: 120.50, Nov: 112.25",,
2016,10,8,1.1,"Boyd, Tyler (CIN, WR, Age: 22)® (R10)",87.17,84.75,75,109,"75, 79, 81, 89, 90, 109 (6)","Feb: 47.11, Mar: 65.86, Apr: 93.67, May: 79.00, Jun: 84.50, Jul: 89.83, Aug: 87.17, Sep: 73.00, Oct: 83.50, Nov: 105.25 ( 22 )",,
2016,11,3,1.11,"Prosise, C.J. (SEA, RB, Age: 22)® (R11)",93.8,93.33,91,98,"91, 93, 93, 94, 98 (5)","Feb: 150.56, Mar: 130.50, Apr: 118.00, May: 108.29, Jun: 92.67, Jul: 97.00, Aug: 93.80, Sep: 117.67, Oct: 124.67, Nov: 101.00 ( 24 )",,
2016,12,4,1.12,"Dixon, Kenneth (BAL, RB, Age: 22)® (R12)",100.6,101.33,94,105,"94, 98, 101, 105, 105 (5)","Feb: 101.22, Mar: 94.00, Apr: 84.67, May: 82.43, Jun: 76.00, Jul: 82.83, Aug: 100.60, Sep: 108.67, Oct: 82.17, Nov: 98.00 ( 16 )",,
2016,13,5,2.1,"Booker, Devontae (DEN, RB, Age: 24)® (R13)",109,109,92,118,"92, 110, 116, 118 (4)","Feb: 122.00, Mar: 126.00, Apr: 103.33, May: 103.14, Jun: 102.33, Jul: 108.00, Aug: 109.00, Sep: 101.33, Oct: 109.67, Nov: 61.25 ( 48 )",,
2016,14,6,2.2,"Washington, DeAndre (OAK, RB, Age: 23)® (R14)",121.25,121.25,103,138,"103, 116, 128, 138 (4)","May: 177.67, Jun: 142.33, Jul: 128.83, Aug: 121.25, Sep: 121.33, Oct: 120.67, Nov: 140.00 ( 19 )",,
2016,15,7,2.3,"Perkins, Paul (NYG, RB, Age: 22)® (R15)",129,129,110,151,"110, 126, 151 (3)","Feb: 137.00, Mar: 125.00, Apr: 151.00, May: 120.86, Jun: 115.33, Jul: 133.33, Aug: 129.00, Sep: 135.67, Oct: 125.17, Nov: 116.75",,
2016,16,9,2.4,"Mitchell, Malcolm (NEP, WR, Age: 23)® (R16)",129,129,90,168,"90, 168 (2)","Feb: 194.00, Mar: 175.50, Apr: 153.00, May: 152.14, Jun: 133.67, Jul: 137.00, Aug: 129.00, Sep: 130.83, Oct: 130.50, Nov: 157.00 ( 27 )",,
