Year,Rank,"Pos
Rank",Draft_Rank,Player,Round,Pick,Tm,Draft Year,Pos,Age,To,All_Pro,Pro_Bowl,Starter_years,Games_Played,Passing_Comp,Pass_att,Pass_yards,Pass_TD,Pass_Int,Rush_att,Rush_yards,Rush_TD,Rec_rec,Rec_yards,Rec_TD,College/Univ,Total Fantasy Points,Fantasy Points Per Game
2015,24,11,2.12,Javorius Allen,4.0,125.0,BAL,2015.0,RB,24.0,2019.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,350.0,1285.0,9.0,130.0,823.0,6.0,USC,365.8,5.715625
2015,25,11,3.01,Chris Conley,3.0,76.0,KAN,2015.0,WR,22.0,2023.0,0.0,0.0,3.0,117.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,220.0,2922.0,15.0,Georgia,492.5,4.2094017094017095
2015,26,12,3.02,Cameron Artis-Payne,5.0,174.0,CAR,2015.0,RB,25.0,2018.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,118.0,491.0,5.0,10.0,86.0,0.0,Auburn,92.69999999999999,2.8968749999999996
2015,27,12,3.03,Devin Smith,2.0,37.0,NYJ,2015.0,WR,23.0,2021.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,248.0,2.0,Ohio St.,44.3,2.0136363636363637
2015,28,13,3.04,Sammie Coates,3.0,87.0,PIT,2015.0,WR,22.0,2018.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,0.0,29.0,528.0,2.0,Auburn,80.7,1.8340909090909092
2015,29,14,3.05,Justin Hardy,4.0,107.0,ATL,2015.0,WR,23.0,2019.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,946.0,9.0,East Carolina,196.10000000000002,2.686301369863014
2015,30,13,3.06,Mike Davis,4.0,126.0,SFO,2015.0,RB,22.0,2022.0,0.0,0.0,2.0,87.0,0.0,0.0,0.0,0.0,0.0,558.0,2052.0,14.0,171.0,1066.0,4.0,South Carolina,505.30000000000007,5.808045977011495
2015,31,14,3.07,Josh Robinson,6.0,205.0,IND,2015.0,RB,23.0,2015.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,17.0,39.0,0.0,6.0,33.0,0.0,Mississippi St.,10.200000000000001,2.04
2015,32,15,3.08,Stefon Diggs,5.0,146.0,MIN,2015.0,WR,21.0,2023.0,1.0,4.0,8.0,136.0,0.0,1.0,0.0,0.0,0.0,32.0,162.0,0.0,810.0,9995.0,67.0,Maryland,1822.7,13.402205882352941
2015,33,16,3.09,Kenny Bell,5.0,162.0,TAM,2015.0,WR,23.0,,0.0,0.0,0.0,,,,,,,,,,,,,Nebraska,,
2015,34,17,3.1,DeAndre Smelter,4.0,132.0,SFO,2015.0,WR,23.0,2016.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,0.0,Georgia Tech,2.8000000000000003,1.4000000000000001
2015,35,15,3.11,Michael Dyer,,,,,,,,,,,,,,,,,,,,,,,,,
2015,36,16,3.12,Jeremy Langford,4.0,106.0,CHI,2015.0,RB,23.0,2018.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,219.0,762.0,10.0,41.0,421.0,1.0,Michigan St.,204.79999999999998,7.06206896551724
2015,37,2,4.01,Clive Walford,3.0,68.0,OAK,2015.0,TE,23.0,2019.0,0.0,0.0,1.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,74.0,825.0,6.0,Miami (FL),155.9,2.998076923076923
2015,38,18,4.02,Tre McBride,7.0,245.0,TEN,2015.0,WR,22.0,2017.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,10.0,152.0,1.0,William & Mary,27.0,1.588235294117647
2015,39,19,4.03,Duron Carter,,,,,,,,,,,,,,,,,,,,,,,,,
2015,40,3,4.04,MyCole Pruitt,5.0,143.0,MIN,2015.0,TE,23.0,2023.0,0.0,0.0,1.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,748.0,12.0,Southern Illinois,182.3,1.6724770642201836
