Draft_Pick_Group,Historical Value
1.01-1.03,550.0596491228071
1.04-1.06,615.0115151515151
1.07-1.09,484.1125925925926
1.10-1.12,664.8916666666667
2.01-2.03,537.4583333333334
2.04-2.06,757.9763888888888
2.07-2.09,798.1430735930736
2.10-2.12,467.6386904761905
3.01-3.03,296.78812500000004
3.04-3.06,713.701130952381
3.07-3.09,574.0114285714285
3.10-3.12,115.25511904761903
4.01+,477.31864348370925
