Year,Rank,"Pos
Rank",Draft_Rank,Player,Round,Pick,Tm,Draft Year,Pos,Age,To,All_Pro,Pro_Bowl,Starter_years,Games_Played,Passing_Comp,Pass_att,Pass_yards,Pass_TD,Pass_Int,Rush_att,Rush_yards,Rush_TD,Rec_rec,Rec_yards,Rec_TD,College/Univ,Total Fantasy Points,Fantasy Points Per Game,Draft_Round
2016,29,1,3.05,Carson Wentz,1.0,2.0,PHI,2016.0,QB,23.0,2023.0,0.0,1.0,6.0,95.0,2073.0,3308.0,22292.0,153.0,67.0,354.0,1418.0,11.0,2.0,11.0,0.0,North Dakota St.,3223.1000000000004,33.927368421052634,3
2017,28,1,3.04,Deshaun Watson,1.0,12.0,HOU,2017.0,QB,21.0,2023.0,0.0,3.0,3.0,66.0,1390.0,2089.0,16756.0,118.0,45.0,369.0,1994.0,19.0,1.0,6.0,1.0,Clemson,2614.1000000000004,39.607575757575766,3
2015,32,15,3.08,Stefon Diggs,5.0,146.0,MIN,2015.0,WR,21.0,2023.0,1.0,4.0,8.0,136.0,0.0,1.0,0.0,0.0,0.0,32.0,162.0,0.0,810.0,9995.0,67.0,Maryland,1822.7,13.40220588235294,3
2018,32,4,3.08,Sam Darnold,1.0,3.0,NYJ,2018.0,QB,21.0,2023.0,0.0,0.0,4.0,66.0,1082.0,1811.0,12064.0,63.0,56.0,209.0,760.0,13.0,0.0,0.0,0.0,USC,1626.4,24.642424242424244,3
2021,31,5,3.07,Mac Jones,1.0,15.0,NWE,2021.0,QB,23.0,2023.0,0.0,1.0,2.0,42.0,864.0,1308.0,8918.0,46.0,36.0,117.0,327.0,1.0,0.0,0.0,0.0,Alabama,1134.5000000000002,27.011904761904766,3
2016,25,12,3.01,Kenyan Drake,3.0,73.0,MIA,2016.0,RB,22.0,2023.0,0.0,0.0,2.0,104.0,0.0,0.0,0.0,0.0,0.0,869.0,3866.0,33.0,218.0,1655.0,8.0,Alabama,907.1,8.722115384615385,3
2021,28,4,3.04,Zach Wilson,1.0,2.0,NYJ,2021.0,QB,22.0,2023.0,0.0,0.0,2.0,34.0,566.0,993.0,6293.0,23.0,25.0,93.0,498.0,5.0,1.0,2.0,1.0,BYU,803.8000000000001,23.64117647058824,3
2019,26,13,3.02,Diontae Johnson,3.0,66.0,PIT,2019.0,WR,23.0,2023.0,0.0,1.0,4.0,77.0,0.0,0.0,0.0,0.0,0.0,19.0,134.0,0.0,391.0,4363.0,25.0,Toledo,795.2,10.327272727272728,3
2018,44,5,4.08,Josh Allen,1.0,7.0,BUF,2018.0,QB,22.0,2023.0,0.0,3.0,5.0,94.0,1989.0,3145.0,22703.0,167.0,78.0,657.0,3611.0,53.0,1.0,12.0,1.0,Wyoming,3803.1,40.458510638297874,4
2020,40,3,4.04,Justin Herbert,1.0,6.0,LAC,2020.0,QB,22.0,2023.0,0.0,1.0,3.0,62.0,1613.0,2422.0,17223.0,114.0,42.0,224.0,911.0,11.0,3.0,0.0,0.0,Oregon,2480.9,40.01451612903226,4
