College/Univ,Average Draft Position,Total Fantasy Points,Number of Players Drafted
Alabama,1.7733333333333334,13583.7,21
Oklahoma,2.3457142857142856,11398.199999999999,14
Ohio St.,1.809375,8100.6,16
Clemson,2.183333333333333,7036.700000000001,9
LSU,1.9244444444444444,5814.6,9
Georgia,2.267857142857143,5494.7,14
Oregon,2.3966666666666665,5173.9,3
USC,2.0575,4935.5,8
Texas Tech,2.716666666666667,4747.700000000001,3
Florida St.,2.4560000000000004,4731.1,5
