Position,Intercept,Slope,R-squared
QB,1904.0336070667895,-150.92066846320031,0.012901981578018251
WR,569.7146199645945,-98.33942780676313,0.09888877051058087
RB,778.1051302282331,-163.88384680038067,0.22302012883151467
TE,487.6774575806729,-63.684795931776996,0.08243088451366665
