,Intercept,Slope,Correlation
QB,1904.0336070667895,-150.92066846320031,-0.11358688999183919
WR,569.7146199645945,-98.33942780676313,-0.3144658495140305
RB,778.1051302282331,-163.88384680038067,-0.4722500702292322
TE,487.6774575806729,-63.684795931776996,-0.2871077924990307
